event_type;event_time;symbol;trade_id;price;quantity;buyer_order_id;seller_order_id;trade_time;buyer;ignore
trade;1634829036132;BTCEUR;67202178;54345.46000000;0.00019000;1289864231;1289864226;1634829036131;false;true
trade;1634829036898;BTCEUR;67202179;54331.78000000;0.00055000;1289864249;1289864250;1634829036898;true;true
trade;1634829039255;BTCEUR;67202180;54317.43000000;0.01576000;1289864373;1289864370;1634829039254;false;true
trade;1634829039654;BTCEUR;67202181;54323.07000000;0.01576000;1289864407;1289864408;1634829039653;true;true
trade;1634829039654;BTCEUR;67202182;54322.95000000;0.03055000;1289864405;1289864408;1634829039653;true;true
trade;1634829040542;BTCEUR;67202183;54323.27000000;0.01171000;1289864459;1289864457;1634829040541;false;true
trade;1634829041312;SOLEUR;2401850;155.96000000;3.00000000;31588873;31588863;1634829041311;false;true
trade;1634829041665;BTCEUR;67202184;54321.72000000;0.00142000;1289864518;1289864507;1634829041664;false;true
trade;1634829041665;BTCEUR;67202185;54323.52000000;0.01860000;1289864518;1289864436;1634829041664;false;true
trade;1634829041665;BTCEUR;67202186;54323.54000000;0.01548000;1289864518;1289864437;1634829041664;false;true
trade;1634829041753;BTCEUR;67202187;54323.54000000;0.00312000;1289864527;1289864437;1634829041752;false;true
trade;1634829041834;BTCEUR;67202188;54323.56000000;0.00859000;1289864537;1289864438;1634829041834;false;true
trade;1634829041836;BTCEUR;67202189;54323.56000000;0.01000000;1289864538;1289864438;1634829041836;false;true
trade;1634829044182;BTCEUR;67202190;54328.10000000;0.00120000;1289864654;1289864688;1634829044182;true;true
trade;1634829044182;BTCEUR;67202191;54312.73000000;0.01577000;1289864686;1289864688;1634829044182;true;true
trade;1634829044182;BTCEUR;67202192;54312.73000000;0.20000000;1289864687;1289864688;1634829044182;true;true
trade;1634829044182;BTCEUR;67202193;54312.72000000;0.06985000;1289864682;1289864688;1634829044182;true;true
trade;1634829044182;BTCEUR;67202194;54312.70000000;0.00100000;1289864673;1289864688;1634829044182;true;true
trade;1634829044182;BTCEUR;67202195;54312.67000000;0.05618000;1289864645;1289864688;1634829044182;true;true
trade;1634829045864;BTCEUR;67202196;54337.75000000;0.05000000;1289864771;1289864772;1634829045863;true;true
trade;1634829045864;BTCEUR;67202197;54335.00000000;0.01779000;1289864762;1289864772;1634829045863;true;true
trade;1634829046365;BTCEUR;67202198;54338.06000000;0.00120000;1289864792;1289864760;1634829046364;false;true
trade;1634829046492;BTCEUR;67202199;54338.45000000;0.05422000;1289864800;1289864746;1634829046492;false;true
trade;1634829046493;BTCEUR;67202200;54338.45000000;0.08000000;1289864802;1289864746;1634829046493;false;true
trade;1634829046566;BTCEUR;67202201;54345.46000000;0.01714000;1289864810;1289864486;1634829046566;false;true
trade;1634829046566;BTCEUR;67202202;54350.92000000;0.05697000;1289864810;1289864794;1634829046566;false;true
trade;1634829046566;BTCEUR;67202203;54350.93000000;0.06010000;1289864810;1289864340;1634829046566;false;true
trade;1634829046874;SOLEUR;2401851;156.18000000;4.47000000;31588904;31588885;1634829046873;false;true
trade;1634829046874;SOLEUR;2401852;156.18000000;2.36000000;31588904;31588896;1634829046873;false;true
trade;1634829046874;SOLEUR;2401853;156.18000000;0.48000000;31588904;31588902;1634829046873;false;true
trade;1634829047901;SOLEUR;2401854;155.92000000;2.35000000;31588890;31588914;1634829047900;true;true
trade;1634829049384;BTCEUR;67202204;54331.75000000;0.00263000;1289864970;1289864979;1634829049384;true;true
trade;1634829050898;SOLEUR;2401855;155.72000000;2.36000000;31588925;31588934;1634829050898;true;true
trade;1634829051387;SOLEUR;2401856;155.72000000;2.51000000;31588925;31588940;1634829051387;true;true
trade;1634829051387;SOLEUR;2401857;155.71000000;3.13000000;31588924;31588940;1634829051387;true;true
trade;1634829051960;BTCEUR;67202205;54333.55000000;0.00545000;1289865055;1289865036;1634829051959;false;true
trade;1634829052053;BTCEUR;67202206;54333.54000000;0.00030000;1289865056;1289865058;1634829052052;true;true
trade;1634829052636;BTCEUR;67202207;54327.72000000;0.00550000;1289865062;1289865076;1634829052636;true;true
trade;1634829052636;BTCEUR;67202208;54323.57000000;0.01577000;1289865073;1289865076;1634829052636;true;true
trade;1634829052636;BTCEUR;67202209;54323.56000000;0.00543000;1289864754;1289865076;1634829052636;true;true
trade;1634829052636;BTCEUR;67202210;54312.68000000;0.00800000;1289865072;1289865076;1634829052636;true;true
trade;1634829052636;BTCEUR;67202211;54312.67000000;0.00034000;1289864853;1289865076;1634829052636;true;true
trade;1634829052636;BTCEUR;67202212;54312.67000000;0.00168000;1289864888;1289865076;1634829052636;true;true
trade;1634829052636;BTCEUR;67202213;54309.34000000;0.12378000;1289865067;1289865076;1634829052636;true;true
trade;1634829052945;SOLEUR;2401858;156.05000000;1.31000000;31588949;31588937;1634829052944;false;true
trade;1634829052945;SOLEUR;2401859;155.71000000;0.35000000;31588924;31588931;1634829052944;true;true
trade;1634829052947;SOLEUR;2401860;156.05000000;2.10000000;31588950;31588937;1634829052946;false;true
trade;1634829052966;SOLEUR;2401861;155.99000000;1.60000000;31588958;31588957;1634829052965;false;true
trade;1634829052966;SOLEUR;2401862;155.99000000;1.85000000;31588959;31588957;1634829052966;false;true
trade;1634829053010;SOLEUR;2401863;156.00000000;3.18000000;31588974;31588973;1634829053010;false;true
trade;1634829053191;SOLEUR;2401864;156.20000000;4.74000000;31588993;31588564;1634829053190;false;true
trade;1634829053194;SOLEUR;2401865;156.20000000;1.00000000;31588996;31588564;1634829053194;false;true
trade;1634829053195;SOLEUR;2401866;156.20000000;15.00000000;31588997;31588564;1634829053195;false;true
trade;1634829053551;BTCEUR;67202214;54331.94000000;0.00204000;1289865115;1289865130;1634829053550;true;true
trade;1634829053551;SOLEUR;2401867;155.78000000;0.71000000;31589012;31589011;1634829053550;false;true
trade;1634829053552;SOLEUR;2401868;155.78000000;0.03000000;31589013;31589011;1634829053551;false;true
trade;1634829053576;SOLEUR;2401869;156.13000000;7.87000000;31589017;31589022;1634829053575;true;true
trade;1634829054040;BTCEUR;67202215;54331.98000000;0.00089000;1289865149;1289865153;1634829054040;true;true
